TAIL_NUMBER,SCHEDULED_DEPARTURE,ARRIVAL_DELAY,ORIGIN_AIRPORT,DEPARTURE_TIME,SCHEDULED_ARRIVAL,DISTANCE,WHEELS_ON,MONTH,CANCELLED,ARRIVAL_TIME,DIVERTED,DAY_OF_WEEK,AIRLINE,TAXI_OUT,AIR_TIME,SCHEDULED_TIME,FLIGHT_NUMBER,ELAPSED_TIME,DESTINATION_AIRPORT,YEAR,WHEELS_OFF,DAY,DEPARTURE_DELAY,TAXI_IN
N476HA,1320,0.0,HNL,1317.0,1404,163,1356.0,1,0,1404.0,0,4,HA,11.0,28.0,44.0,148,47.0,KOA,2015,1328.0,1,-3.0,8.0
N3ABAA,1155,-21.0,BOS,1147.0,1350,867,1325.0,1,0,1329.0,0,4,AA,10.0,148.0,175.0,1083,162.0,ORD,2015,1157.0,1,-8.0,4.0
N609SW,1210,32.0,LAX,1249.0,1330,373,1358.0,1,0,1402.0,0,4,WN,6.0,63.0,80.0,2027,73.0,SMF,2015,1255.0,1,39.0,4.0
N623DL,1155,10.0,PBI,1149.0,1449,1086,1450.0,1,0,1459.0,0,4,DL,21.0,160.0,174.0,893,190.0,DTW,2015,1210.0,1,-6.0,9.0
N429WN,1350,15.0,LAS,1407.0,1610,368,1621.0,1,0,1625.0,0,4,WN,9.0,65.0,80.0,1579,78.0,SLC,2015,1416.0,1,17.0,4.0
N617SW,1220,-16.0,DAY,1215.0,1440,808,1418.0,1,0,1424.0,0,4,WN,15.0,108.0,140.0,4300,129.0,MCO,2015,1230.0,1,-5.0,6.0
N359NW,1145,-42.0,IAH,1140.0,1411,1195,1324.0,1,0,1329.0,0,4,DL,12.0,152.0,206.0,831,169.0,SLC,2015,1152.0,1,-5.0,5.0
N772UA,710,56.0,GUM,801.0,1820,3801,1903.0,1,0,1916.0,0,4,UA,13.0,409.0,430.0,200,435.0,HNL,2015,814.0,1,51.0,13.0
N3EPAA,1020,5.0,DFW,1022.0,1400,1192,1358.0,1,0,1405.0,0,4,AA,29.0,127.0,160.0,176,163.0,DCA,2015,1051.0,1,2.0,7.0
N76522,606,-2.0,SFO,601.0,1159,1635,1133.0,1,0,1157.0,0,4,UA,13.0,199.0,233.0,1160,236.0,IAH,2015,614.0,1,-5.0,24.0
N474WN,850,-8.0,LIT,849.0,1105,1136,1053.0,1,0,1057.0,0,4,WN,8.0,176.0,195.0,771,188.0,PHX,2015,857.0,1,-1.0,4.0
N154UW,1325,-13.0,PHX,1324.0,1855,1587,1837.0,1,0,1842.0,0,4,US,24.0,169.0,210.0,612,198.0,ATL,2015,1348.0,1,-1.0,5.0
N613QX,1258,9.0,OAK,1307.0,1420,337,1417.0,1,0,1429.0,0,4,OO,14.0,56.0,82.0,4461,82.0,LAX,2015,1321.0,1,9.0,12.0
N367NW,730,-22.0,BWI,722.0,1026,1865,949.0,1,0,1004.0,0,4,DL,12.0,255.0,296.0,2560,282.0,SLC,2015,734.0,1,-8.0,15.0
N258WN,805,-10.0,MCI,756.0,940,460,926.0,1,0,930.0,0,4,WN,11.0,79.0,95.0,662,94.0,DAL,2015,807.0,1,-9.0,4.0
N530AS,845,20.0,SEA,853.0,1126,1050,1143.0,1,0,1146.0,0,4,AS,33.0,137.0,161.0,246,173.0,SAN,2015,926.0,1,8.0,3.0
N3CCAA,840,-3.0,FLL,834.0,1055,1119,1032.0,1,0,1052.0,0,4,AA,14.0,164.0,195.0,1503,198.0,DFW,2015,848.0,1,-6.0,20.0
N565AS,950,-12.0,PDX,952.0,1215,834,1152.0,1,0,1203.0,0,4,AS,12.0,108.0,145.0,568,131.0,LAX,2015,1004.0,1,2.0,11.0
N199DN,910,-33.0,LAX,907.0,1736,2475,1655.0,1,0,1703.0,0,4,DL,22.0,266.0,326.0,16,296.0,JFK,2015,929.0,1,-3.0,8.0
N7722B,1325,4.0,CMH,1336.0,1540,829,1540.0,1,0,1544.0,0,4,WN,10.0,114.0,135.0,296,128.0,TPA,2015,1346.0,1,11.0,4.0
N816SK,730,-10.0,OKC,731.0,917,866,902.0,1,0,907.0,0,4,OO,29.0,122.0,167.0,4795,156.0,SLC,2015,800.0,1,1.0,5.0
N824UA,1310,-14.0,ORD,1306.0,1542,473,1526.0,1,0,1528.0,0,4,UA,16.0,64.0,92.0,230,82.0,BUF,2015,1322.0,1,-4.0,2.0
N3HCAA,812,-8.0,LGA,803.0,1129,1096,1051.0,1,0,1121.0,0,4,AA,15.0,153.0,197.0,2243,198.0,MIA,2015,818.0,1,-9.0,30.0
N3757D,700,-35.0,LAS,654.0,1445,2248,1402.0,1,0,1410.0,0,4,DL,11.0,237.0,285.0,1795,256.0,JFK,2015,705.0,1,-6.0,8.0
N977AT,1216,35.0,DTW,1309.0,1459,957,1524.0,1,0,1534.0,0,4,DL,10.0,125.0,163.0,2028,145.0,MCO,2015,1319.0,1,53.0,10.0
N793JB,1226,-27.0,LAX,1224.0,2045,2611,2011.0,1,0,2018.0,0,4,B6,12.0,275.0,319.0,488,294.0,BOS,2015,1236.0,1,-2.0,7.0
N835UA,955,-10.0,DEN,1011.0,1445,1201,1430.0,1,0,1435.0,0,4,UA,13.0,126.0,170.0,833,144.0,CLE,2015,1024.0,1,16.0,5.0
N87507,1016,-2.0,IAH,1021.0,1200,1379,1148.0,1,0,1158.0,0,4,UA,17.0,190.0,224.0,1444,217.0,LAX,2015,1038.0,1,5.0,10.0
N445SW,905,14.0,MSP,905.0,1203,596,1211.0,1,0,1217.0,0,4,OO,47.0,79.0,118.0,4520,132.0,CVG,2015,952.0,1,0.0,6.0
N3ALAA,905,-16.0,AUS,901.0,1015,190,949.0,1,0,959.0,0,4,AA,10.0,38.0,70.0,1356,58.0,DFW,2015,911.0,1,-4.0,10.0
N11119,1302,-,SAF,-,1421,303,-,1,1,-,0,4,EV,-,-,79.0,5944,-,DEN,2015,-,1,-,-
N11150,836,-4.0,EWR,826.0,1024,463,1008.0,1,0,1020.0,0,4,EV,15.0,87.0,108.0,4701,114.0,CMH,2015,841.0,1,-10.0,12.0
N945WN,1145,5.0,MDW,1146.0,1440,1444,1440.0,1,0,1445.0,0,4,WN,7.0,227.0,235.0,59,239.0,PHX,2015,1153.0,1,1.0,5.0
N998AT,1215,-14.0,CMH,1217.0,1400,447,1339.0,1,0,1346.0,0,4,DL,15.0,67.0,105.0,2197,89.0,ATL,2015,1232.0,1,2.0,7.0
N687DL,937,-19.0,SEA,933.0,1646,1927,1619.0,1,0,1627.0,0,4,DL,17.0,209.0,249.0,2074,234.0,DTW,2015,950.0,1,-4.0,8.0
N16525,1326,-3.0,IAH,1324.0,1442,316,1436.0,1,0,1439.0,0,4,EV,13.0,59.0,76.0,3925,75.0,MFE,2015,1337.0,1,-2.0,3.0
N76517,115,-11.0,LAX,112.0,618,1379,559.0,1,0,607.0,0,4,UA,11.0,156.0,183.0,1545,175.0,IAH,2015,123.0,1,-3.0,8.0
N744SK,804,24.0,LAX,823.0,1256,1211,1315.0,1,0,1320.0,0,4,OO,30.0,142.0,172.0,6431,177.0,SAT,2015,853.0,1,19.0,5.0
N726SK,601,17.0,PSP,632.0,735,421,748.0,1,0,752.0,0,4,OO,11.0,65.0,94.0,5629,80.0,SFO,2015,643.0,1,31.0,4.0
N464UA,1236,-9.0,RNO,1227.0,1810,1530,1746.0,1,0,1801.0,0,4,UA,9.0,190.0,214.0,384,214.0,IAH,2015,1236.0,1,-9.0,15.0
N187US,935,3.0,CLT,929.0,1121,1337,1114.0,1,0,1124.0,0,4,US,17.0,208.0,226.0,445,235.0,DEN,2015,946.0,1,-6.0,10.0
N692DL,1100,-18.0,ATL,1058.0,1244,547,1221.0,1,0,1226.0,0,4,DL,10.0,73.0,104.0,150,88.0,DCA,2015,1108.0,1,-2.0,5.0
N614NK,1016,20.0,IAH,1047.0,1145,862,1154.0,1,0,1205.0,0,4,NK,12.0,115.0,149.0,939,138.0,DEN,2015,1059.0,1,31.0,11.0
N810SK,1134,2.0,OAK,1126.0,1420,588,1416.0,1,0,1422.0,0,4,OO,19.0,91.0,106.0,4632,116.0,SLC,2015,1145.0,1,-8.0,6.0
N649JB,730,-25.0,BOS,726.0,1107,1237,1034.0,1,0,1042.0,0,4,B6,14.0,174.0,217.0,569,196.0,FLL,2015,740.0,1,-4.0,8.0
